views/60d  langs   ngram  letters  status   title
---------  -----  ------  -------  -------  ----------------------------------------
3,881,611    134                5  kept     Odyssey
3,661,131    280               12  kept     Michael Jackson
3,252,959    239                6  kept     Shakira
2,899,533    213                6  kept     YouTube
2,649,029    101                7  kept     Anne Hathaway
2,523,104     96               12  kept     Christopher Nolan
2,146,984     57               12  kept     House of the Dragon
2,104,922     59                7  kept     Ansel Adams
2,053,524    155               10  kept     Taylor Swift
1,864,424    151                8  kept     Instagram
1,677,062    100                6  kept     Dua Lipa
1,572,736     99                6  kept     Matt Damon
1,397,998    155                5  kept     Madonna
1,234,168     92                6  kept     Odysseus
1,221,032    103                7  kept     Trojan War
1,166,615    144               11  kept     Steven Spielberg
1,045,150    152                4  kept     Iliad
1,033,164     64                8  kept     Troy (film)
1,015,876    120               10  kept     Jennifer Lopez
1,014,089     87                6  kept     Agamemnon
  981,402     88                9  kept     Helen of Troy
  971,297    111               11  kept     Clint Eastwood
  969,102    124                7  kept     Ariana Grande
  927,303     84                9  kept     Ryan Gosling
  914,940    102               11  REMOVED  Charlize Theron
  905,646    198                5  kept     Homer
  874,526    201                9  kept     Marilyn Monroe
  866,251     31                9  kept     The Bear (TV series)
  857,786     73               10  kept     Oppenheimer (film)
  851,092    112                9  kept     Tom Cruise
  847,963    109               10  kept     Sylvester Stallone
  812,434     85               10  kept     Interstellar (film)
  788,982    150                9  kept     Freddie Mercury
  785,711     31                7  kept     Ted Lasso
  785,064    127               11  kept     Paul McCartney
  782,046    127                7  kept     Brad Pitt
  762,367    187                8  kept     Elvis Presley
  756,833    108                8  kept     Keanu Reeves
  734,277    103                9  kept     Penélope Cruz
  715,178    119                7  kept     Katy Perry
  703,716    100                9  kept     Sagrada Família
  694,601    121                8  kept     Tom Hanks
  679,541    138               11  kept     Scarlett Johansson
  677,318     58               11  REMOVED  David Hockney
  673,939    145                7  kept     Bob Dylan
  669,491    134               10  kept     Robin Williams
  653,477    103               10  kept     Prince (musician)
  651,201     97                8  kept     Ben Affleck
  641,693     83                5  kept     Roblox
  636,354    106                9  kept     Bruce Willis
  634,799    124               13  kept     Arnold Schwarzenegger
  626,175     84                9  kept     Mick Jagger
  619,734    143                8  kept     Angelina Jolie
  611,227     98                8  kept     Heath Ledger
  606,884    107                5  kept     Toy Story
  600,436    116                3  kept     BTS
  598,804    122               11  kept     Game of Thrones
  589,663     89               12  kept     Grand Theft Auto V
  587,990    218                7  kept     The Beatles
  587,444    103                7  kept     Achilles
  584,776     33               11  kept     Yellowstone (TV series)
  567,933    125                4  kept     TikTok
  564,020     77               12  kept     Marvel Cinematic Universe
  545,800    127               10  kept     Leonardo DiCaprio
  544,657    103                9  kept     Harrison Ford
  542,914     94                8  kept     Kanye West
  535,475    114                8  kept     Meryl Streep
  535,159    122                8  kept     Johnny Depp
  527,813     99                8  kept     Bruno Mars
  526,907    118                8  kept     David Bowie
  524,445     53                8  kept     Travis Scott
  521,861    162                9  kept     Justin Bieber
  520,671    131                6  kept     Bruce Lee
  519,140     65               12  kept     Avatar: The Last Airbender
  517,994     68                8  kept     The Prestige
  510,088    110               10  kept     Jennifer Lawrence
  509,120    116               10  kept     Nicole Kidman
  497,859    142                6  kept     John Lennon
  492,519     51                8  kept     Lauryn Hill
  489,326    236               11  kept     William Shakespeare
  484,437    114               11  kept     Sandra Bullock
  482,821    115               11  kept     Julia Roberts
  466,925     79                5  kept     Toy Story 3
  466,610     84                7  kept     Inception
  464,621     84                8  kept     Adam Sandler
  460,885     69                7  REMOVED  Shania Twain
  459,843     56               10  kept     The Jackson 5
  454,635    120               11  kept     Elizabeth Taylor
  453,652     85                7  kept     Moana (2016 film)
  452,846     88               10  kept     The Dark Knight
  448,532    119                8  kept     Robert De Niro
  447,276    124               10  kept     The Rolling Stones
  447,243     32                9  kept     Severance (TV series)
  446,929    110                9  kept     George Harrison
  446,792    139                5  kept     Rihanna
  445,653    117                7  kept     Al Pacino
  444,369     62                6  kept     Spike Lee
  443,847     93                9  kept     Ozzy Osbourne
  440,809     63                8  kept     Memento (film)
  438,883    100                9  kept     Eddie Murphy
  438,271     83               11  kept     Drake (musician)
  436,153    159                4  kept     Eminem
  434,859    283                4  kept     Jesus
  434,116    111               11  kept     Amy Winehouse
  433,485    112                9  kept     Tupac Shakur
  432,696    111                8  kept     Frank Sinatra
  431,160     66                9  kept     The Sopranos
  428,183    101                4  kept     Cher
  426,731    124               10  kept     Whitney Houston
  424,051     64               10  kept     Fleetwood Mac
  422,526     60                9  kept     Dunkirk (2017 film)
  422,138    155                6  kept     Beyoncé
  421,842    105                8  kept     Ringo Starr
