rank	views_60d	status	title
1	3881611	kept	Odyssey
2	3661131	kept	Michael Jackson
3	3252959	kept	Shakira
4	2899533	kept	YouTube
5	2649029	kept	Anne Hathaway
6	2523104	kept	Christopher Nolan
7	2146984	kept	House of the Dragon
8	2104922	kept	Ansel Adams
9	2053524	kept	Taylor Swift
10	1864424	kept	Instagram
11	1677062	kept	Dua Lipa
12	1572736	kept	Matt Damon
13	1397998	kept	Madonna
14	1234168	kept	Odysseus
15	1221032	kept	Trojan War
16	1166615	kept	Steven Spielberg
17	1045150	kept	Iliad
18	1033164	kept	Troy (film)
19	1015876	kept	Jennifer Lopez
20	1014089	kept	Agamemnon
21	981402	kept	Helen of Troy
22	971297	kept	Clint Eastwood
23	969102	kept	Ariana Grande
24	927303	kept	Ryan Gosling
25	914940	kept	Charlize Theron
26	905646	kept	Homer
27	874526	kept	Marilyn Monroe
28	866251	kept	The Bear (TV series)
29	857786	kept	Oppenheimer (film)
30	851092	kept	Tom Cruise
31	847963	kept	Sylvester Stallone
32	812434	kept	Interstellar (film)
33	788982	kept	Freddie Mercury
34	785711	kept	Ted Lasso
35	785064	kept	Paul McCartney
36	782046	kept	Brad Pitt
37	762367	kept	Elvis Presley
38	756833	kept	Keanu Reeves
39	734277	kept	Penélope Cruz
40	715178	kept	Katy Perry
41	703716	kept	Sagrada Família
42	694601	kept	Tom Hanks
43	679541	kept	Scarlett Johansson
44	677318	kept	David Hockney
45	673939	kept	Bob Dylan
46	669491	kept	Robin Williams
47	653477	kept	Prince (musician)
48	651201	kept	Ben Affleck
49	641693	kept	Roblox
50	636354	kept	Bruce Willis
51	634799	kept	Arnold Schwarzenegger
52	626175	kept	Mick Jagger
53	619734	kept	Angelina Jolie
54	611227	kept	Heath Ledger
55	606884	kept	Toy Story
56	600436	kept	BTS
57	598804	kept	Game of Thrones
58	589663	kept	Grand Theft Auto V
59	587990	kept	The Beatles
60	587444	kept	Achilles
61	584776	kept	Yellowstone (TV series)
62	567933	kept	TikTok
63	564020	kept	Marvel Cinematic Universe
64	545800	kept	Leonardo DiCaprio
65	544657	kept	Harrison Ford
66	542914	kept	Kanye West
67	535475	kept	Meryl Streep
68	535159	kept	Johnny Depp
69	527813	kept	Bruno Mars
70	526907	kept	David Bowie
71	524445	kept	Travis Scott
72	521861	kept	Justin Bieber
73	520671	kept	Bruce Lee
74	519140	kept	Avatar: The Last Airbender
75	517994	kept	The Prestige
76	510088	kept	Jennifer Lawrence
77	509120	kept	Nicole Kidman
78	497859	kept	John Lennon
79	492519	kept	Lauryn Hill
80	489326	kept	William Shakespeare
81	484437	kept	Sandra Bullock
82	482821	kept	Julia Roberts
83	466925	kept	Toy Story 3
84	466610	kept	Inception
85	464621	kept	Adam Sandler
86	460885	kept	Shania Twain
87	459843	kept	The Jackson 5
88	454635	kept	Elizabeth Taylor
89	453652	kept	Moana (2016 film)
90	452846	kept	The Dark Knight
91	448532	kept	Robert De Niro
92	447276	kept	The Rolling Stones
93	447243	kept	Severance (TV series)
94	446929	kept	George Harrison
95	446792	kept	Rihanna
96	445653	kept	Al Pacino
97	444369	kept	Spike Lee
98	443847	kept	Ozzy Osbourne
99	440809	kept	Memento (film)
100	438883	kept	Eddie Murphy
101	438271	kept	Drake (musician)
102	436153	kept	Eminem
103	434859	kept	Jesus
104	434116	kept	Amy Winehouse
105	433485	kept	Tupac Shakur
106	432696	kept	Frank Sinatra
107	431160	kept	The Sopranos
108	428183	kept	Cher
109	426731	kept	Whitney Houston
110	424051	kept	Fleetwood Mac
111	422526	kept	Dunkirk (2017 film)
112	422138	kept	Beyoncé
113	421842	kept	Ringo Starr
114	414650	kept	Sean Connery
115	414397	kept	Thriller (album)
116	414228	kept	Dolly Parton
117	414019	kept	Johnny Cash
118	412607	kept	Natalie Portman
119	410861	kept	The Big Bang Theory
120	410451	kept	Britney Spears
121	409489	kept	He-Man
122	408711	kept	Denzel Washington
123	408552	kept	Audrey Hepburn
124	406332	kept	Martin Scorsese
125	405336	kept	Mount Rushmore
126	395704	kept	The Lord of the Rings (film series)
127	395449	kept	Creepypasta
128	394927	kept	The Dark Knight Rises
129	393201	kept	Call of Duty
130	391710	kept	Billy Joel
131	390827	kept	Jurassic Park
132	390078	kept	Jim Carrey
133	389852	kept	Netflix
134	389564	kept	Breaking Bad
135	389102	kept	Jack Nicholson
136	387011	kept	Christian Bale
137	386857	kept	Emma Watson
138	383240	kept	Lady Gaga
139	383129	kept	Metallica
140	382863	kept	Marlon Brando
141	381978	kept	Doctor Who
142	379727	kept	BBC
143	379646	kept	Charlie Chaplin
144	378234	kept	Stranger Things
145	376828	kept	Billie Eilish
146	375665	kept	Quentin Tarantino
147	374653	kept	Jay-Z
148	374033	kept	Emma Stone
149	372342	kept	Robert Downey Jr.
150	370923	kept	Bruce Springsteen
151	369134	kept	Avatar (2009 film)
152	368498	kept	Morgan Freeman
153	367025	kept	Judy Garland
154	365905	kept	The Cure
155	365872	kept	George R. R. Martin
156	365532	kept	Will Smith
157	364605	kept	Once Upon a Time in Hollywood
158	364131	kept	J. R. R. Tolkien
159	363311	kept	Wuthering Heights
160	363257	kept	Star Wars
161	362919	kept	Elton John
162	361164	kept	Philosophy
163	359924	kept	Rick and Morty
164	359080	kept	Tina Turner
165	349741	kept	Ernest Hemingway
166	349492	kept	George Lucas
167	348593	kept	Linkin Park
168	348584	kept	Dune (2021 film)
169	347852	kept	Lana Del Rey
170	345410	kept	Bob Marley
171	345401	kept	Stevie Wonder
172	345173	kept	Frida Kahlo
173	344420	kept	Kurt Cobain
174	342947	kept	Joaquin Phoenix
175	342048	kept	John Wayne
176	340794	kept	The Godfather
177	340333	kept	No Country for Old Men
178	339719	kept	Bayeux Tapestry
179	339056	kept	Willie Nelson
180	337821	kept	Stephen King
181	337285	kept	David Lynch
182	334466	kept	Trojan Horse
183	333872	kept	Diana Ross
184	331779	kept	The Devil Wears Prada (film)
185	331358	kept	IMAX
186	329836	kept	Wolfgang Amadeus Mozart
187	329491	kept	Led Zeppelin
188	329393	kept	Top Gun: Maverick
189	328565	kept	Paul Newman
190	328427	kept	A Song of Ice and Fire
191	328204	kept	Spice Girls
192	326958	kept	James Cameron
193	326610	kept	Grey's Anatomy
194	326469	kept	Jodie Foster
195	326180	kept	Stanley Kubrick
196	325161	kept	Doctor Doom
197	323166	kept	Woody Allen
198	322796	kept	Pink Floyd
199	321144	kept	Vincent van Gogh
200	318983	kept	Avengers: Endgame
201	316649	kept	Gone Girl (film)
202	316386	kept	The Shawshank Redemption
203	315707	kept	Grace Kelly
204	313364	kept	Batman Begins
205	311933	kept	AC/DC
206	311767	kept	Jordan Peele
207	310584	kept	Athena
208	309564	kept	The Simpsons
209	309260	kept	Gladiator (2000 film)
210	309163	kept	Paul Simon
211	309005	kept	Roald Dahl
212	308920	kept	Karl Marx
213	306966	kept	Titanic (1997 film)
214	304525	kept	Dustin Hoffman
215	304121	kept	Twin Peaks
216	303986	kept	Jackie Chan
217	303721	kept	The Count of Monte Cristo
218	303477	kept	Eric Clapton
219	301865	kept	Mariah Carey
220	301862	kept	Minecraft
221	301436	kept	Statue of Liberty
222	301036	kept	Avicii
223	300669	kept	Ridley Scott
224	300608	kept	Jimi Hendrix
225	300412	kept	ABBA
226	299624	kept	Inglourious Basterds
227	299047	kept	Marilyn Manson
228	297575	kept	Rocky
229	296483	kept	She-Ra
230	295166	kept	Marcus Aurelius
231	294154	kept	The Walking Dead (TV series)
232	293854	kept	The Office (American TV series)
233	293838	kept	Academy Award for Best Picture
234	293252	kept	Walt Disney
235	293229	kept	Ron Howard
236	292491	kept	J. K. Rowling
237	291985	kept	Jaws (film)
238	290564	kept	Cardi B
239	290396	kept	Nymph
240	289349	kept	Close Encounters of the Third Kind
241	289262	kept	John Williams
242	287908	kept	Better Call Saul
243	287096	kept	Andy Warhol
244	286766	kept	Academy Awards
245	286676	kept	Adele
246	286249	kept	The Weeknd
247	286007	kept	Shah Rukh Khan
248	285093	kept	Paris (mythology)
249	284300	kept	Outlander (TV series)
250	284259	kept	Samuel L. Jackson
251	284093	kept	Heat (1995 film)
252	282978	kept	Celine Dion
253	280301	kept	Harry Potter (film series)
254	280299	kept	Harry Potter
255	279976	kept	Steve McQueen
256	279340	kept	Get Out
257	279179	kept	Supernatural (American TV series)
258	277478	kept	Queen (band)
259	277072	kept	Leonardo da Vinci
260	274505	kept	Anthony Hopkins
261	274460	kept	One Piece
262	274243	kept	O Brother, Where Art Thou?
263	273755	kept	Ed Sheeran
264	273485	kept	Steve Martin
265	271175	kept	Francis Ford Coppola
266	270805	kept	Friends
267	270769	kept	The Matrix
268	270748	kept	Greek alphabet
269	269727	kept	Good Will Hunting
270	269562	kept	Fyodor Dostoevsky
271	268867	kept	Oasis (band)
272	268231	kept	The Beach Boys
273	268131	kept	2001: A Space Odyssey
274	266345	kept	Aretha Franklin
275	263330	kept	Pixar
276	262618	kept	Spider-Man
277	262237	kept	Saving Private Ryan
278	260846	kept	Red Hot Chili Peppers
279	260842	kept	PBS
280	258306	kept	Friedrich Nietzsche
281	258071	kept	James Stewart
282	255996	kept	Keith Richards
283	255813	kept	Tennessee Williams
284	255598	kept	Whoopi Goldberg
285	255536	kept	Alicia Keys
286	254481	kept	Eagles (band)
287	253605	kept	Nicki Minaj
288	253124	kept	Dean Martin
289	252895	kept	Mona Lisa
290	252320	kept	The Buddha
291	251435	kept	Pablo Picasso
292	251097	kept	Cary Grant
293	250905	kept	Amitabh Bachchan
294	250148	kept	Jane Austen
295	250014	kept	Seven deadly sins
296	249921	kept	System of a Down
297	249858	kept	The Wire
298	249689	kept	Mad Men
299	249302	kept	Casino Royale (2006 film)
300	249298	kept	Bee Gees
301	248924	kept	Eiffel Tower
302	248839	kept	Succession (TV series)
303	248671	kept	The Mandalorian
304	248310	kept	Neil Young
305	248251	kept	Justin Timberlake
306	248197	kept	Orson Welles
307	247805	kept	Nineteen Eighty-Four
308	247538	kept	Empire State Building
309	247217	kept	50 Cent
310	246748	kept	Cate Blanchett
311	246144	kept	Paul Thomas Anderson
312	245844	kept	Snoop Dogg
313	245268	kept	Star Wars (film)
314	244812	kept	Blade Runner
315	244355	kept	Jujutsu Kaisen
316	244219	kept	SpongeBob SquarePants
317	244165	kept	Band of Brothers (miniseries)
318	243591	kept	Sting (musician)
319	243209	kept	Oscar Wilde
320	243008	kept	Gregory Peck
321	242844	kept	Schindler's List
322	242629	kept	Rockstar Games
323	242474	kept	Minions (film)
324	242341	kept	Björk
325	240545	kept	Lilo & Stitch
326	240413	kept	Anime
327	239588	kept	Christina Aguilera
328	239200	kept	Modern Family
329	238745	kept	Blade Runner 2049
330	238651	kept	Fight Club
331	238521	kept	Zeus
332	237774	kept	Agatha Christie
333	237748	kept	ER (TV series)
334	237121	kept	Legally Blonde
335	237007	kept	Eyes Wide Shut
336	236770	kept	One Direction
337	236226	kept	James Bond
338	236161	kept	Franz Kafka
339	235780	kept	Hamilton (musical)
340	234882	kept	It's Always Sunny in Philadelphia
341	234719	kept	Stan Lee
342	233100	kept	Ray Charles
