5326 candidates, 5079 kept

 views/60d  langs  letters  status           title
----------  -----  -------  ---------------  ----------------------------------------
   5378207    129        6  kept             ChatGPT
   2163214    101        7  kept             Jeff Bezos
   1969914    162        8  kept             Elon Musk
   1827141    323        7  kept             Wikipedia
   1309485    190        4  kept             Google
    820858     83        6  kept             QR code
    688256    161        6  kept             Weather
    587898    181       10  kept             Artificial intelligence
    560131    235        9  kept             Albert Einstein
    532295     53        7  kept             Dark web
    521614    111       14  kept             Chernobyl disaster
    517389    173        7  kept             Steve Jobs
    516951    104        6  kept             SpaceX
    491671    319        5  kept             Earth
    471085     63        8  kept             HTTP cookie
    418269    210       11  kept             Periodic table
    404353    314        3  kept             Sun
    379533    153       11  kept             Stephen Hawking
    373922    105       11  kept             J. Robert Oppenheimer
    364460    163        8  kept             Alan Turing
    351552     77        5  kept             Nvidia
    350507    175        9  kept             Nikola Tesla
    344470     92       15  kept             Atomic bombings of Hiroshima and Nagasaki
    337342    159        7  kept             Apple Inc.
    336058    166        8  kept             Microsoft
    333433    185        8  kept             Black hole
    321185     53        4  kept             JSON
    314055    179        8  kept             Bill Gates
    312000    234        5  kept             Human
    306892    197        7  kept             Marie Curie
    302243    143       10  kept             Mark Zuckerberg
    279889     37       12  kept             El Niño–Southern Oscillation
    276350    242       10  kept             Leonardo da Vinci
    272932    153        8  kept             World Wide Web
    271319    237        9  kept             Isaac Newton
    268147    128       12  kept             C (programming language)
    258674    105        4  kept             Apollo 11
    256111    295        3  kept             Moon
    248552    175        8  kept             Eiffel Tower
    246590    119       14  kept             Empire State Building
    246253    266        5  kept             Animal
    242290    169       10  kept             COVID-19 pandemic
    234136     96        9  kept             Srinivasa Ramanujan
    228406    191       10  kept             Sigmund Freud
    221324    103        8  kept             Tesla, Inc.
    220746     74        6  kept             GitHub
    220702    137       10  kept             Burj Khalifa
    220178    123       14  kept             Python (programming language)
    218502    276        6  kept             Language
    218368    175       10  kept             Tuberculosis
    216213    114        6  kept             Autism
    213229     83        6  kept             Concorde
    211623    175       11  kept             Neil Armstrong
    209261    246        7  kept             Jupiter
    207754     83       15  kept             Attention deficit hyperactivity disorder
    207521     92        7  kept             Larry Page
    207171    181        8  kept             Dinosaur
    206597    118        7  kept             Stonehenge
    205075     69       11  kept             Dunning–Kruger effect
    202971    250        5  kept             Science
    200959     56       11  kept             Chicxulub crater
    199090    228        5  kept             Internet
    198130    111        8  kept             Carl Jung
    194479    248        9  kept             Solar System
    192928    232        8  kept             Aristotle
    190401     67       12  kept             Neil deGrasse Tyson
    188479    118       10  kept             Climate change
    187746     69       10  kept             Large language model
    186825    261        4  kept             Bird
    183133     88        8  kept             Sergey Brin
    183053    141       13  kept             Android (operating system)
    182709    257        5  kept             Venus
    182551    115       11  kept             Richard Feynman
    181901     65       10  kept             Sundar Pichai
    179967     71       12  kept             Antikythera mechanism
    177921    222        5  kept             Plato
    177436     87       10  kept             Wernher von Braun
    176071    196        7  kept             Milky Way
    175219    108       11  kept             Schizophrenia
    174582    107       13  kept             Stanford University
    171369     81        8  kept             Fields Medal
    171229    241        6  kept             Saturn
    168181    193       10  kept             Thomas Edison
    166709    106       10  kept             Parkinson's disease
    165819    258        4  kept             Mars
    165501    171        0  under 3 letters  0
    165297     85        6  kept             Boeing 747
    164543    207        5  kept             Pluto
    164276    146        6  kept             Web browser
    163615    101        8  kept             Tyrannosaurus
    162193    122       11  kept             International Space Station
    161131    102        9  kept             Mariana Trench
    161099    139        6  kept             Bitcoin
    157420    115        8  kept             Neanderthal
    156292     85       13  kept             Köppen climate classification
    156164    212       11  kept             Charles Darwin
    155180    168        2  under 3 letters  Pi
    154141    122       12  kept             Florence Nightingale
    153681     91       11  kept             E (mathematical constant)
    153668    262        8  kept             Mathematics
    152983    113        7  kept             Ada Lovelace
    152616    222        3  kept             Mammal
    151612    164        5  kept             Linux
    151595    102        9  kept             Buzz Aldrin
    150607    191        7  kept             Time zone
    149989     80       11  kept             Schrödinger's cat
    149315    103        7  kept             Carl Sagan
    149245    197        7  kept             Elephant
    148617    103        3  kept             IBM
    148617    135       13  kept             University of Oxford
    148600    159        5  kept             Email
    148211    101        5  kept             MacOS
    147035     97        7  kept             Apollo program
    146660    152       14  kept             Coordinated Universal Time
    146068     38       10  kept             Cross-site scripting
    145913     85        8  kept             Olympus Mons
    145628     78        9  kept             Mount St. Helens
    144934    156       12  not science      Gross domestic product
    144668    174        7  kept             Yuri Gagarin
    143609    119        9  kept             Roman numerals
    143151     65       11  kept             Huntington's disease
    142070     76        7  kept             Occam's razor
    141297    149        9  kept             Noam Chomsky
    140664     44       11  kept             Fibonacci sequence
    139233     54        8  kept             Demis Hassabis
    139018     68       15  kept             Maslow's hierarchy of needs
    138077    151       12  kept             Industrial Revolution
    135984     66       15  kept             Fukushima nuclear accident
    135581     65        4  kept             Apollo 13
    134454    235        5  kept             Neptune
    132882    209        6  kept             Galileo Galilei
    132778     96        4  kept             CERN
    132126    250       11  kept             Mercury (planet)
    132039     83        8  kept             Channel Tunnel
    131347    132       10  kept             Alzheimer's disease
    131326     95        9  kept             Down syndrome
    131268    153        6  kept             Panama Canal
    130012     85       11  kept             Manhattan Project
    128953     59       12  kept             Regular expression
    128741    114        6  kept             Octopus
    128418    142        7  kept             Smallpox
    127065    157        6  kept             Tornado
    126848    171        5  kept             Big Bang
    126662     42        8  kept             Uncanny valley
    126467    157        3  kept             NASA
    125423     98        8  kept             Jane Goodall
    125191    142        7  kept             Arthropod
    124989    101       11  kept             Taxonomy (biology)
    124971    242        4  kept             Fish
    124654     95       10  kept             John Forbes Nash Jr.
    124651    123        9  kept             Mount Vesuvius
    124181    103        7  kept             Morse code
    124043     98        7  kept             Rosetta Stone
    123779     77        8  kept             Perception
    122063     85        4  kept             ASCII
    121628     78        7  kept             Ring of Fire
    121242    249        8  kept             Pacific Ocean
    121205     79        6  kept             Paul Allen
    120272     58        8  kept             Proxy server
    119951    144       11  kept             Quantum mechanics
    118744    241        4  kept             Gold
    118426    142       10  kept             Epistemology
    118340    142       11  kept             Age of Enlightenment
    118186    107        3  kept             Wi-Fi
    117673    134       11  kept             Alexander Graham Bell
    116464     56        8  kept             Satya Nadella
    116187     56       10  not science      Streisand effect
    116176    168        8  kept             Suez Canal
    116088     45       11  kept             Quantum computing
    114846    205        8  kept             Psychology
    114788     47        9  kept             Dot-com bubble
    114689     97        7  kept             Voyager 1
    114503    123       10  kept             Language family
    114434    114        6  kept             Titan (moon)
    114408    136       11  kept             Speed of light
    114384    139       10  kept             Natural science
    114355     68       11  kept             Katherine Johnson
    114205    123       11  kept             Linus Torvalds
    113508     87       11  kept             Steve Wozniak
    113196     93       10  kept             Golden ratio
    113048     93       11  kept             Human evolution
    112998    249        8  kept             Atlantic Ocean
    112910     92       10  kept             Machine learning
    112602    106        8  kept             Marsupial
    112481    142        4  kept             HTML
    112439     71       10  kept             Fermi paradox
    111913    101        7  kept             Alchemy
    111130     89        3  kept             HTTP
    110983    240        5  kept             Uranus
    110415     75       12  kept             Normal distribution
    110312     22       11  kept             Ilya Sutskever
    109965     78        9  kept             Tunguska event
    109410    182        5  kept             Virus
    109211    106       11  kept             Golden Gate Bridge
    108934    121        9  kept             JavaScript
    108927     44        8  kept             Wow! signal
    108829     44        9  kept             Ship of Theseus
    108650    107       15  kept             Massachusetts Institute of Technology
    108411     98        8  kept             Jellyfish
    107863     45        8  kept             MIT License
    107508    100       10  kept             Halley's Comet
    107242    160        5  kept             Shark
    107144    216        6  kept             Flower
    106550    206       10  kept             Gregorian calendar
    106363     98        7  kept             Bluetooth
    106054    124        7  kept             Ethanol
    106022     63       15  kept             Cretaceous–Paleogene extinction event
    105470    127       17  kept             University of Cambridge
    105104     92       11  kept             Large Hadron Collider
    104404     98       10  kept             Richard Dawkins
    104180    116        7  kept             IP address
    103513    147        9  kept             Tim Berners-Lee
    103273    123        7  kept             Unicode
    102792     91        7  kept             Entropy
    102300    225       10  kept             Encyclopedia
    102287    111        9  kept             Human body
    101977     65        9  kept             Cystic fibrosis
    101856    114        9  kept             Werner Heisenberg
    101662    185        3  kept             Bat
    100858     64        7  kept             Tor (network)
    100226     80        9  kept             Air conditioning
    100035    109       11  kept             Andromeda Galaxy
     99794     51        7  kept             Terence Tao
     99605    127       10  kept             Bertrand Russell
     99395    165       12  kept             Operating system
     98793     57       13  kept             Rust (programming language)
     98762    204        8  kept             Earthquake
     98192    182        8  kept             René Descartes
     97854    163        8  kept             Photography
     96874    102        9  kept             John von Neumann
     96775     38       13  kept             Conway's Game of Life
     96384    148        8  kept             Eukaryote
     95754     34       10  kept             Survivorship bias
     95630    121       10  kept             Orion (constellation)
     95407     80       10  kept             Standard deviation
     95373    115       10  kept             Plate tectonics
     95010    106        3  kept             IOS
     94750    197        9  kept             Nobel Prize
     94394    110        9  kept             Cryptocurrency
     94205    114        1  under 3 letters  C++
     93951    176        9  kept             Mercury (element)
     93667    191        9  kept             Archimedes
     92849    185       10  kept             Anthropology
     92424     85        9  kept             Extraterrestrial life
     92196    164        9  kept             Leonhard Euler
     92184     69       10  kept             Claude Shannon
     91794     66       10  kept             Geoffrey Hinton
     91698     73        7  kept             Edward Teller
     90699     72        7  kept             Shinkansen
     90640     50       10  kept             San Andreas Fault
     90564     99        9  kept             Homo erectus
     90159    212        3  kept             Car
     90075     36       10  kept             PID controller
     89986     51       13  kept             Stanford prison experiment
     89966    103        5  kept             Pangaea
     89806    104        8  kept             Cretaceous
     89794    257        6  kept             Biology
     89687     75        7  kept             Obsidian
     89626     22       10  not science      Goodhart's law
     89455     92        7  kept             Higgs boson
     89335    144        8  kept             Prime number
     88680     58        7  kept             Sagittarius A*
     88673     99        4  kept             Sirius
     88599     80        6  kept             Corrosion
     88369     51       13  kept             Transport Layer Security
     87775    241        5  kept             Plant
     87474     87       11  kept             Magnetic resonance imaging
     87073     95        6  kept             Holocene
     86999     92       11  kept             Alpha Centauri
     86984    173        5  kept             Malaria
     86731     89       12  kept             Proxima Centauri
     86479    201        6  kept             Aluminium
     85984    155        5  kept             Species
     85794     60        4  kept             HTTPS
     85655    175        3  kept             DNA
     85177    108        6  kept             Zodiac
     85130     51       11  kept             Voyager Golden Record
     84632    178       11  kept             Nicolaus Copernicus
     84565    140       12  kept             Ceres (dwarf planet)
     84012     65        8  kept             Dew point
     83748     95        5  kept             Intel
     83599     81       10  kept             Intelligence quotient
     83433     97        7  kept             Dark matter
     83422     89        9  kept             Game theory
     83362    101        6  kept             Ontology
     83214    206        6  kept             Insect
     83055    104        4  kept             Aurora
     82661     60       11  kept             R (programming language)
     82599     96       10  kept             Geologic time scale
     82537    148        7  kept             Primate
     82428     95       10  kept             Silicon Valley
     82259    153        6  kept             Lightning
     82028     82        6  kept             Blu-ray
     81999     67        9  kept             Search engine
     81883    225        8  kept             Hydrogen
     81831     95        6  kept             Caffeine
     81764     70        8  kept             Hoover Dam
     81429    160        9  kept             Pythagoras
     81346    157       13  kept             International System of Units
     81168     87       12  kept             Proto-Indo-European language
     80834    188        8  kept             Cell (biology)
     80716     48       10  kept             Artificial general intelligence
     80628    119       11  kept             Theory of relativity
     80570    212        5  kept             Copper
     80361    121       11  kept             Newton's laws of motion
     80345    179        7  kept             Rainbow
     80293     56       13  kept             Permian–Triassic extinction event
     80122    112        8  kept             Grand Canyon
     80062     80        2  under 3 letters  MP3
     79979    243        6  kept             Planet
     79973     66       11  kept             Fourier transform
     79476    173        6  kept             Reptile
     79017    119        9  kept             Francis Bacon
     78938    103        8  latin name       Hominidae
     78911    189        7  kept             Alphabet
     78387    187        9  kept             Carl Linnaeus
     78281     97        7  kept             Polaris
     77872    137        8  kept             Butterfly
     77520     98        3  kept             URL
     77443     83       11  kept             Brooklyn Bridge
     77381    219        6  kept             Oxygen
     77237    230        5  kept             Ocean
     77236    117       12  kept             Valentina Tereshkova
     76774    102       12  kept             James Webb Space Telescope
     76597     81       10  kept             Domain Name System
     76300    137       10  kept             Nuclear weapon
     76149    124       13  kept             Java (programming language)
     76143     45        7  kept             Homi J. Bhabha
     76123     48       11  kept             Three-body problem
     75807    103       10  kept             Three Gorges Dam
     75720     79        6  kept             Phishing
     75407    114        6  kept             Penicillin
     75214     61        8  kept             Enigma machine
     75168     53       10  kept             Poisson distribution
     75059    109        7  kept             Pleiades
     74598    214        6  kept             Silver
     74429     48        9  kept             Year 2000 problem
     74407    192        5  kept             Fungus
     74407    157        6  kept             Vertebrate
     74108    125       10  kept             Julian calendar
     73717    157        8  kept             Petroleum
     73677     37       14  kept             Transformer (deep learning)
     73657    119       13  kept             Global Positioning System
     73609     74        7  kept             OSI model
     73401     81       13  kept             Maxwell's equations
     73188     47       12  kept             Monty Hall problem
     72895     63        8  kept             Moore's law
     72888     65        8  kept             Denisovan
     72479    103        5  kept             Calculus
     72395    180        5  kept             Cancer
     72350    211        8  kept             Television
     72305     75        3  kept             AMD
     72185     95        8  kept             Fahrenheit
     72043    211        3  kept             Ant
     72007     52       11  kept             Cognitive dissonance
     71921    131        5  kept             Archaea
     71738     31       14  kept             History of artificial intelligence
     71715     57       12  kept             Riemann hypothesis
     71671    225        3  kept             Tree
     71340     36        6  kept             Tesseract
     71314    110        3  kept             HIV
     71294    185        5  kept             Galaxy
     71180     70       10  kept             Grigori Perelman
     70770     69        3  kept             Git
     70682    140       11  kept             Pythagorean theorem
     70575     68        8  kept             Paul Erdős
     70380     51       13  kept             Dijkstra's algorithm
     70320     55        7  kept             Secure Shell
     70280    227        4  kept             Iron
     70247    103        7  kept             Jurassic
     70092    159        9  kept             Mobile phone
